phoneno,age,gender,zipcode,calls,sms,mms,charges,coverage,complaint,sim,phone,prepost,churn
5974,1,Male,91107,160,25,1,490,0,4,Dual Sim,Andoid,Prepaid,No Churn
4535,1,Male,90089,150,45,19,340,0,3,Dual Sim,Andoid,Prepaid,No Churn
4016,1,Male,94720,100,39,15,110,0,1,Single Sim,Andoid,Prepaid,No Churn
8523,2,Male,94112,270,35,9,1000,0,1,Single Sim,Andoid,Prepaid,No Churn
5052,2,Female,91330,100,35,8,450,0,4,Single Sim,Andoid,Prepaid,No Churn
8970,2,Male,92121,40,37,13,290,2,4,Single Sim,Andoid,Postpaid,No Churn
9042,2,Male,91711,150,53,27,720,0,2,Single Sim,Andoid,Postpaid,No Churn
5724,3,Female,93943,30,50,24,220,0,1,Single Sim,Andoid,Prepaid,No Churn
9238,2,Male,90089,60,35,10,810,2,3,Single Sim,Andoid,Postpaid,No Churn
4436,3,Male,93023,890,34,9,1800,0,1,Single Sim,Andoid,Prepaid,Churn
3455,3,Male,94710,240,65,39,1050,0,4,Single Sim,Andoid,Prepaid,No Churn
8784,2,Male,90277,10,29,5,450,0,3,Single Sim,Andoid,Postpaid,No Churn
1582,3,Male,93106,380,48,23,1140,0,2,Dual Sim,Andoid,Prepaid,No Churn
9392,2,Male,94920,250,59,32,400,0,4,Single Sim,Andoid,Postpaid,No Churn
4702,1,Male,91741,200,67,41,1120,0,1,Dual Sim,Andoid,Prepaid,No Churn
2981,3,Female,95054,150,60,30,220,0,1,Single Sim,Andoid,Postpaid,No Churn
4288,3,Male,95010,470,38,14,1300,2,4,Single Sim,Andoid,Prepaid,Churn
3273,1,Male,94305,240,42,18,810,0,4,Single Sim,Andoid,Prepaid,No Churn
1382,3,Male,91604,810,46,21,1930,0,2,Single Sim,Andoid,Prepaid,Churn
9859,2,Female,94720,50,55,28,210,0,1,Dual Sim,Andoid,Prepaid,No Churn
3775,2,Male,94015,90,56,31,250,2,0,Single Sim,Andoid,Postpaid,No Churn
3195,3,Male,90095,200,57,27,630,0,3,Single Sim,Andoid,Postpaid,No Churn
7336,1,Male,90277,120,29,5,620,3,1,Single Sim,Andoid,Postpaid,No Churn
8251,1,Male,91320,70,44,18,430,2,2,Dual Sim,Andoid,Prepaid,No Churn
5260,1,Female,95521,390,36,11,1520,2,2,Single Sim,Andoid,Prepaid,No Churn
1254,1,Male,94305,50,43,19,290,1,3,Single Sim,Andoid,Postpaid,No Churn
6388,3,Male,95064,20,40,16,830,0,4,Single Sim,Andoid,Prepaid,No Churn
9030,1,Female,90064,240,46,20,1580,0,1,Single Sim,Andoid,Postpaid,No Churn
5182,3,Female,94539,220,56,30,480,0,1,Single Sim,Andoid,Postpaid,No Churn
1672,2,Female,94104,330,38,13,1190,0,1,Single Sim,IOS,Postpaid,Churn
2872,3,Male,93106,120,59,35,350,2,1,Single Sim,Andoid,Postpaid,No Churn
2301,2,Male,94117,200,40,16,290,0,1,Single Sim,Andoid,Postpaid,No Churn
7594,3,Male,94801,60,53,28,410,2,2,Single Sim,Andoid,Prepaid,No Churn
1656,3,Male,91330,90,30,6,180,0,3,Single Sim,Andoid,Prepaid,No Churn
9213,3,Male,94035,180,31,5,500,0,4,Single Sim,Andoid,Postpaid,No Churn
1247,1,Male,92647,70,48,24,810,0,3,Single Sim,Andoid,Prepaid,No Churn
6747,1,Female,94720,290,59,35,1210,0,1,Single Sim,Andoid,Prepaid,No Churn
9696,3,Male,95814,140,51,25,710,2,1,Single Sim,Andoid,Prepaid,No Churn
3813,3,Male,94114,500,42,18,1410,0,3,Dual Sim,IOS,Postpaid,Churn
6234,3,Male,94115,70,38,13,800,3,4,Single Sim,Andoid,Postpaid,No Churn
9359,3,Male,92672,160,57,32,840,0,3,Dual Sim,Andoid,Prepaid,No Churn
2183,1,Male,94122,230,34,9,600,0,3,Single Sim,Andoid,Prepaid,No Churn
9476,2,Male,90019,110,32,7,1320,5,4,Single Sim,Andoid,Postpaid,Churn
9073,1,Male,95616,70,39,15,450,0,1,Single Sim,Andoid,Postpaid,No Churn
4455,1,Female,94065,570,46,20,1040,0,1,Single Sim,Andoid,Postpaid,No Churn
7245,1,Female,94720,250,57,31,520,0,4,Single Sim,Andoid,Prepaid,No Churn
4695,2,Male,95014,70,39,14,430,2,3,Single Sim,Andoid,Postpaid,No Churn
4647,3,Female,91380,20,37,12,1940,3,4,Dual Sim,IOS,Postpaid,Churn
2318,3,Female,95747,450,56,26,810,0,2,Single Sim,Andoid,Prepaid,No Churn
1219,1,Female,92373,180,40,16,490,0,1,Single Sim,Andoid,Prepaid,No Churn
8029,2,Male,92093,70,32,8,80,0,4,Dual Sim,Andoid,Postpaid,No Churn
5358,1,Male,94720,290,61,37,1310,0,1,Single Sim,Andoid,Postpaid,No Churn
1642,1,Male,94005,10,30,6,720,3,1,Single Sim,Andoid,Prepaid,No Churn
7534,3,Male,90245,210,50,26,1900,3,3,Single Sim,Andoid,Postpaid,Churn
2440,3,Male,95819,20,29,5,440,0,1,Single Sim,Andoid,Postpaid,No Churn
1741,1,Male,94022,800,41,17,1390,0,2,Single Sim,Andoid,Postpaid,No Churn
8498,2,Male,94005,10,55,30,290,0,3,Dual Sim,IOS,Postpaid,No Churn
8063,3,Male,95616,120,56,31,1310,0,2,Single Sim,Andoid,Prepaid,Churn
4545,1,Male,94065,20,28,2,930,0,0,Single Sim,Andoid,Prepaid,No Churn
8982,1,Male,91320,450,31,5,1880,5,2,Single Sim,Andoid,Prepaid,No Churn
3221,2,Male,90404,170,49,24,390,0,3,Dual Sim,Andoid,Postpaid,No Churn
7872,1,Male,93407,570,47,21,1250,2,1,Dual Sim,Andoid,Prepaid,No Churn
2397,1,Male,90089,100,42,18,220,0,1,Single Sim,Andoid,Prepaid,No Churn
1986,2,Male,94523,0,42,17,320,0,4,Single Sim,Andoid,Postpaid,No Churn
3682,1,Male,90024,330,47,23,1050,0,2,Single Sim,Andoid,Prepaid,No Churn
6742,1,Female,91360,380,59,35,1310,0,1,Single Sim,Andoid,Postpaid,No Churn
8455,1,Male,95670,280,62,36,1050,4,2,Single Sim,Andoid,Prepaid,No Churn
1294,3,Male,95123,200,53,23,450,2,4,Dual Sim,Andoid,Prepaid,No Churn
9677,1,Female,93407,210,47,21,600,0,3,Single Sim,Andoid,Postpaid,No Churn
7670,1,Male,90045,20,53,29,200,0,4,Single Sim,Andoid,Postpaid,No Churn
8295,1,Female,91335,350,42,18,1150,0,1,Single Sim,Andoid,Prepaid,No Churn
4772,2,Male,93907,100,53,29,690,0,4,Single Sim,Andoid,Postpaid,No Churn
4610,1,Female,92007,500,44,20,1300,0,1,Single Sim,Andoid,Prepaid,No Churn
1310,3,Female,94606,400,41,16,850,0,1,Single Sim,Andoid,Postpaid,No Churn
4972,1,Female,94611,330,28,3,1350,0,2,Single Sim,Andoid,Prepaid,No Churn
6434,2,Female,94901,380,31,7,1350,0,4,Single Sim,IOS,Postpaid,Churn
8245,3,Male,91320,30,58,32,120,0,3,Single Sim,Andoid,Prepaid,No Churn
9249,2,Male,92220,50,46,20,290,0,3,Single Sim,Andoid,Prepaid,No Churn
5549,3,Male,93305,260,54,30,1330,0,2,Single Sim,Andoid,Prepaid,Churn
1356,1,Male,94720,40,50,26,190,2,2,Single Sim,Andoid,Postpaid,No Churn
9900,1,Female,95134,130,60,36,410,2,4,Single Sim,Andoid,Postpaid,No Churn
8117,2,Male,94612,270,47,22,400,0,3,Single Sim,Andoid,Postpaid,No Churn
1930,3,Male,92507,400,41,16,820,0,1,Single Sim,Andoid,Postpaid,No Churn
2359,2,Male,94305,240,33,9,500,0,1,Single Sim,Andoid,Prepaid,No Churn
3535,3,Male,91730,90,46,22,180,0,1,Single Sim,Andoid,Postpaid,No Churn
5104,3,Male,94005,180,27,2,1090,0,4,Single Sim,Andoid,Prepaid,No Churn
4319,2,Male,94501,220,40,16,420,2,4,Single Sim,Andoid,Prepaid,No Churn
2358,1,Male,94305,110,48,22,780,0,3,Single Sim,Andoid,Postpaid,No Churn
4753,1,Male,94117,110,65,41,510,0,2,Single Sim,Andoid,Postpaid,No Churn
2336,3,Female,94303,230,25,-1,1130,0,4,Single Sim,Andoid,Prepaid,No Churn
6915,2,Male,90277,560,55,30,1180,0,4,Single Sim,Andoid,Postpaid,Churn
6827,3,Male,94105,110,35,10,290,0,4,Single Sim,Andoid,Postpaid,No Churn
1428,2,Male,94305,60,43,19,340,0,3,Single Sim,Andoid,Prepaid,No Churn
5170,3,Male,94550,170,60,34,640,3,2,Dual Sim,Andoid,Postpaid,No Churn
3732,1,Male,92612,200,65,39,1210,0,1,Single Sim,Andoid,Prepaid,No Churn
4678,3,Male,95617,20,38,12,480,0,4,Single Sim,Andoid,Postpaid,No Churn
2992,1,Male,95014,520,41,15,800,0,1,Single Sim,Andoid,Prepaid,No Churn
4758,1,Male,92121,290,54,28,1610,0,1,Single Sim,Andoid,Postpaid,No Churn
7246,1,Male,92374,30,49,23,940,0,0,Single Sim,Andoid,Postpaid,No Churn
4886,3,Male,91711,10,66,41,150,0,3,Single Sim,Andoid,Postpaid,No Churn
1861,1,Male,94080,120,48,23,740,0,1,Single Sim,Andoid,Postpaid,No Churn
1611,2,Male,94608,130,61,36,300,0,3,Single Sim,Andoid,Prepaid,No Churn
2618,3,Female,93555,100,53,23,440,2,3,Single Sim,Andoid,Postpaid,No Churn
5976,2,Male,95670,30,43,18,220,0,2,Single Sim,Andoid,Postpaid,No Churn
1633,1,Female,93311,130,56,32,380,2,4,Single Sim,Andoid,Postpaid,No Churn
9367,2,Male,94704,10,24,0,350,0,3,Dual Sim,Andoid,Postpaid,No Churn
8282,1,Female,92717,290,43,17,690,0,4,Single Sim,Andoid,Postpaid,No Churn
6012,1,Male,92037,70,42,18,430,2,1,Single Sim,Andoid,Prepaid,No Churn
5003,3,Male,95136,60,33,7,320,2,1,Single Sim,Andoid,Postpaid,No Churn
1346,1,Male,94542,280,43,17,490,0,1,Single Sim,Andoid,Postpaid,No Churn
1234,2,Male,91330,100,41,14,90,0,3,Single Sim,Andoid,Prepaid,No Churn
7536,2,Male,94143,130,62,38,450,0,4,Single Sim,Andoid,Postpaid,No Churn
1180,1,Male,91775,100,40,15,820,4,3,Single Sim,Andoid,Prepaid,No Churn
3942,1,Male,92703,280,58,34,920,2,2,Single Sim,Andoid,Prepaid,No Churn
5422,3,Male,92354,50,39,14,390,0,3,Single Sim,Andoid,Postpaid,No Churn
2123,2,Male,92024,180,65,40,810,0,3,Single Sim,Andoid,Postpaid,No Churn
9774,2,Male,92831,150,54,29,350,0,1,Single Sim,Andoid,Postpaid,No Churn
